beta,nu
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.04
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.12,0.0
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
