beta,nu
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.04
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.6,0.0
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.07200000000000001
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
